id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
4576,63,8/29/2013 14:13,South Van Ness at Market,66,8/29/2013 14:14,South Van Ness at Market,66,520,Subscriber,94127
4607,70,8/29/2013 14:42,San Jose City Hall,10,8/29/2013 14:43,San Jose City Hall,10,661,Subscriber,95138
4130,71,8/29/2013 10:16,Mountain View City Hall,27,8/29/2013 10:17,Mountain View City Hall,27,48,Subscriber,97214
4251,77,8/29/2013 11:29,San Jose City Hall,10,8/29/2013 11:30,San Jose City Hall,10,26,Subscriber,95060
4299,83,8/29/2013 12:02,South Van Ness at Market,66,8/29/2013 12:04,Market at 10th,67,319,Subscriber,94103
4927,103,8/29/2013 18:54,Golden Gate at Polk,59,8/29/2013 18:56,Golden Gate at Polk,59,527,Subscriber,94109
4500,109,8/29/2013 13:25,Santa Clara at Almaden,4,8/29/2013 13:27,Adobe on Almaden,5,679,Subscriber,95112
4563,111,8/29/2013 14:02,San Salvador at 1st,8,8/29/2013 14:04,San Salvador at 1st,8,687,Subscriber,95112
4760,113,8/29/2013 17:01,South Van Ness at Market,66,8/29/2013 17:03,South Van Ness at Market,66,553,Subscriber,94103
4258,114,8/29/2013 11:33,San Jose City Hall,10,8/29/2013 11:35,MLK Library,11,107,Subscriber,95060
4549,125,8/29/2013 13:52,Spear at Folsom,49,8/29/2013 13:55,Embarcadero at Bryant,54,368,Subscriber,94109
4498,126,8/29/2013 13:23,San Pedro Square,6,8/29/2013 13:25,Santa Clara at Almaden,4,26,Subscriber,95112
4965,129,8/29/2013 19:32,Mountain View Caltrain Station,28,8/29/2013 19:35,Mountain View Caltrain Station,28,140,Subscriber,94041
4557,130,8/29/2013 13:57,2nd at South Park,64,8/29/2013 13:59,2nd at South Park,64,371,Subscriber,94122
4386,134,8/29/2013 12:31,Clay at Battery,41,8/29/2013 12:33,Beale at Market,56,503,Subscriber,94109
4749,138,8/29/2013 16:57,Post at Kearney,47,8/29/2013 16:59,Post at Kearney,47,408,Subscriber,94117
4242,141,8/29/2013 11:25,San Jose City Hall,10,8/29/2013 11:27,San Jose City Hall,10,26,Subscriber,95060
4329,142,8/29/2013 12:11,Market at 10th,67,8/29/2013 12:14,Market at 10th,67,319,Subscriber,94103
5097,142,8/29/2013 22:21,Steuart at Market,74,8/29/2013 22:24,Harry Bridges Plaza (Ferry Building),50,564,Subscriber,94115
69223,5674,10/23/2013 12:04,Clay at Battery,41,10/23/2013 13:38,Clay at Battery,41,483,Subscriber,94115
69224,316,10/23/2013 12:04,Beale at Market,56,10/23/2013 12:09,Harry Bridges Plaza (Ferry Building),50,391,Subscriber,94403
69226,626,10/23/2013 12:09,Commercial at Montgomery,45,10/23/2013 12:19,Embarcadero at Bryant,54,396,Customer,
69227,374,10/23/2013 12:09,Steuart at Market,74,10/23/2013 12:15,Howard at 2nd,63,277,Subscriber,94105
69228,357,10/23/2013 12:10,Market at 4th,76,10/23/2013 12:16,Clay at Battery,41,378,Subscriber,94102
69229,225,10/23/2013 12:11,Market at Sansome,77,10/23/2013 12:15,Steuart at Market,74,534,Subscriber,94110
69231,526,10/23/2013 12:15,2nd at South Park,64,10/23/2013 12:24,Embarcadero at Vallejo,48,502,Subscriber,94602
69232,221,10/23/2013 12:17,San Jose City Hall,10,10/23/2013 12:20,SJSU 4th at San Carlos,12,35,Subscriber,95112
69233,718,10/23/2013 12:20,Market at 4th,76,10/23/2013 12:32,Market at 4th,76,563,Subscriber,94102
69234,463,10/23/2013 12:16,2nd at Folsom,62,10/23/2013 12:24,Powell Street BART,39,353,Subscriber,94107
69235,337,10/23/2013 12:22,2nd at Townsend,61,10/23/2013 12:27,San Francisco Caltrain (Townsend at 4th),70,517,Subscriber,94107
69237,516,10/23/2013 12:24,Embarcadero at Bryant,54,10/23/2013 12:32,5th at Howard,57,516,Subscriber,94105
69241,667,10/23/2013 12:26,Embarcadero at Folsom,51,10/23/2013 12:37,Embarcadero at Sansome,60,518,Subscriber,94404
69243,203,10/23/2013 12:29,Yerba Buena Center of the Arts (3rd @ Howard),68,10/23/2013 12:33,Post at Kearney,47,504,Subscriber,94117
69244,470,10/23/2013 12:29,Mechanics Plaza (Market at Battery),75,10/23/2013 12:37,Civic Center BART (7th at Market),72,591,Subscriber,94111
69245,431,10/23/2013 12:31,Yerba Buena Center of the Arts (3rd @ Howard),68,10/23/2013 12:38,Embarcadero at Folsom,51,421,Subscriber,94602
69246,22885,10/23/2013 12:31,San Jose Civic Center,3,10/23/2013 18:52,San Jose Civic Center,3,183,Customer,
69247,426,10/23/2013 12:33,Howard at 2nd,63,10/23/2013 12:40,Spear at Folsom,49,327,Subscriber,94107
69248,817,10/23/2013 12:33,Powell Street BART,39,10/23/2013 12:46,Civic Center BART (7th at Market),72,353,Subscriber,94610
69249,446,10/23/2013 12:33,Steuart at Market,74,10/23/2013 12:41,Post at Kearney,47,429,Subscriber,94105
69250,416,10/23/2013 12:34,Yerba Buena Center of the Arts (3rd @ Howard),68,10/23/2013 12:41,2nd at Townsend,61,484,Subscriber,94606
69251,263,10/23/2013 12:35,Embarcadero at Sansome,60,10/23/2013 12:39,Steuart at Market,74,530,Subscriber,94597
69252,27662,10/23/2013 12:36,Commercial at Montgomery,45,10/23/2013 20:17,Market at Sansome,77,599,Subscriber,94108
69253,343,10/23/2013 12:38,Powell at Post (Union Square),71,10/23/2013 12:43,Market at 4th,76,367,Subscriber,94104
69254,389,10/23/2013 12:38,Embarcadero at Folsom,51,10/23/2013 12:44,Clay at Battery,41,543,Subscriber,94111
69255,163,10/23/2013 12:38,San Salvador at 1st,8,10/23/2013 12:41,Paseo de San Antonio,7,224,Subscriber,95112
69256,561,10/23/2013 12:38,Market at 4th,76,10/23/2013 12:47,Harry Bridges Plaza (Ferry Building),50,389,Customer,55408
69257,964,10/23/2013 12:40,South Van Ness at Market,66,10/23/2013 12:56,San Francisco Caltrain 2 (330 Townsend),69,446,Subscriber,94114
69258,1992,10/23/2013 12:41,Harry Bridges Plaza (Ferry Building),50,10/23/2013 13:14,Embarcadero at Sansome,60,391,Customer,94127
69260,952,10/23/2013 12:41,Townsend at 7th,65,10/23/2013 12:57,Powell at Post (Union Square),71,520,Subscriber,94015
69261,701,10/23/2013 12:41,Beale at Market,56,10/23/2013 12:53,Harry Bridges Plaza (Ferry Building),50,457,Subscriber,94704
69262,418,10/23/2013 12:43,Yerba Buena Center of the Arts (3rd @ Howard),68,10/23/2013 12:50,Market at Sansome,77,432,Subscriber,94105
69263,555,10/23/2013 12:45,Market at 4th,76,10/23/2013 12:54,Embarcadero at Sansome,60,563,Subscriber,94102
69264,192,10/23/2013 12:45,Paseo de San Antonio,7,10/23/2013 12:48,MLK Library,11,116,Subscriber,95112
